,name,Website,street address,city,state,zipcode,Type,Size,private,funding,Associates (y=1/n=0)
508,College of the Holy Cross,www.holycross.edu,One College Street,Worcester,Massachusetts,01610-2395,"4-year, Private not-for-profit",2898.0,Private,not-for-profit,0
509,College of the Ozarks,www.cofo.edu,,Point Lookout,Missouri,65726-0017,"4-year, Private not-for-profit",1334.0,Private,not-for-profit,0
510,College of Visual Arts,www.cva.edu,344 Summit Ave,Saint Paul,Minnesota,55102-2199,"4-year, Private not-for-profit",191.0,Private,not-for-profit,0
511,College of William and Mary,www.wm.edu,,Williamsburg,Virginia,23187-8795,"4-year, Public",7892.0,Public,not-for-profit,0
512,Collins College,www.collinscollege.edu,1140 S Priest Dr,Tempe,Arizona,85281-5206,"4-year, Private for-profit",1456.0,Private,for profit,0
513,Colorado Christian University,WWW.CCU.EDU,8787 West Alameda Avenue,Lakewood,Colorado,80226,"4-year, Private not-for-profit",2599.0,Private,not-for-profit,0
514,Colorado College,www.coloradocollege.edu,14. E Cache La Poudre St.,Colorado Springs,Colorado,80903,"4-year, Private not-for-profit",2026.0,Private,not-for-profit,0
515,Colorado School of Mines,www.mines.edu,1500 Illinois St,Golden,Colorado,80401,"4-year, Public",4704.0,Public,not-for-profit,0
516,Colorado School of Traditional Chinese Medicine,www.cstcm.edu,1441 York St Ste 202,Denver,Colorado,80206,"4-year, Private for-profit",96.0,Private,for profit,0
517,Colorado State University,www.colostate.edu,102 Administration Building,Fort Collins,Colorado,80523-0100,"4-year, Public",28882.0,Public,not-for-profit,0
518,Colorado State University-Pueblo,www.colostate-pueblo.edu,2200 Bonforte Blvd,Pueblo,Colorado,81001-4901,"4-year, Public",6759.0,Public,not-for-profit,0
519,Colorado Technical University,www.coloradotech.edu,5775 Denver Tech Ctr Blvd,Greenwood Village,Colorado,80111-3201,"4-year, Private for-profit",733.0,Private,for profit,0
520,Colorado Technical University,www.coloradotech.com,520 E 19th Ave,North Kansas City,Missouri,64116,"4-year, primarily associate's, Private for-profit",679.0,Private,for profit,1
521,Colorado Technical University,www.coloradotech.edu,4435 N Chestnut Street,Colorado Springs,Colorado,80907-3812,"4-year, Private for-profit",2359.0,Private,for profit,0
522,Colorado Technical University of Sioux Falls,www.coloradotech.edu,3901 W 59th St,Sioux Falls,Dakota,57108-2272,"4-year, Private for-profit",912.0,Private,for profit,0
523,Colorado Technical University Online,www.ctuonline.edu,4435 N Chestnut-Ste E,Colorado Springs,Colorado,80907,"4-year, Private for-profit",25797.0,Private,for profit,0
524,Columbia Centro Universitario,www.columbiaco.edu,Carr 183 Km 1.7,Caguas,Rico,00726,"4-year, primarily associate's, Private for-profit",1050.0,Private,for profit,1
525,Columbia Centro Universitario,columbiaco.edu,3 Betances St,Yauco,Rico,00698,"4-year, primarily associate's, Private for-profit",539.0,Private,for profit,1
526,Columbia College,www.ccis.edu,1001 Rogers,Columbia,Missouri,65216,"4-year, Private not-for-profit",14081.0,Private,not-for-profit,0
527,Columbia College,www.columbiacollegesc.edu,1301 Columbia College Dr,Columbia,Carolina,29203,"4-year, Private not-for-profit",1445.0,Private,not-for-profit,0
528,Columbia College Chicago,www.colum.edu,600 South Michigan,Chicago,Illinois,60605-1996,"4-year, Private not-for-profit",12464.0,Private,not-for-profit,0
529,Columbia College Hollywood,WWW.COLUMBIACOLLEGE.EDU,18618 Oxnard St,Tarzana,California,91356-1411,"4-year, Private not-for-profit",355.0,Private,not-for-profit,0
